,vehicle_id,start_time,stop_time
0,417265,68361,82782
1,550606,27723,27723
2,550606,37570,86034
3,620539,43,14072
4,620539,63388,86375
5,502520,4,5363
6,502520,68874,86390
7,481651,41002,69223
8,481651,70466,82891
9,579073,63894,83282
10,612991,24400,57713
11,612991,69287,83071
12,559431,67726,86147
13,272464,36422,38508
14,272464,40219,54999
15,331158,39999,85604
16,579335,52674,83732
17,583796,27659,66148
18,583796,68397,85705
19,118057,69235,70316
20,118057,71657,82967
21,403415,12941,12941
22,403415,39879,39879
23,403415,41186,84573
24,515640,22,6739
25,515640,45026,59459
26,515640,68679,86392
27,283558,36843,36843
28,283558,41321,86342
29,636565,47459,58146
30,636565,60094,68259
31,636565,72872,84193
32,94867,39899,58546
33,94867,68078,70280
34,180911,40702,54329
35,180911,68902,83201
36,626108,38984,46154
37,626108,69062,75405
38,161043,50432,65978
39,161043,69401,84508
40,593909,58752,58752
41,593909,67848,84213
42,551364,40223,40223
43,551364,68037,82729
44,632138,61311,83662
45,571512,15,564
46,571512,39627,59450
47,571512,67994,82646
48,606135,30125,30125
49,606135,44947,54749
50,508834,67666,82802
51,619003,67964,82696
52,163075,24756,41883
53,624223,66888,83605
54,281745,41031,82863
55,489770,27182,27182
56,489770,31843,43162
57,489770,46376,62540
58,489770,71289,73162
59,608756,37692,60316
60,608756,63927,86346
61,636874,60940,86333
62,437134,43116,47614
63,437134,49624,54946
64,262768,72931,74246
65,505655,67755,86020
66,567638,23855,76262
67,633413,42600,57084
68,633413,62115,68792
69,633413,70761,83087
70,473967,41103,84274
71,159944,36576,36576
72,159944,66508,66980
73,159944,69114,82679
74,567953,67556,83260
75,420986,22,6624
76,420986,68366,86382
77,384349,49388,57305
78,384349,67982,81986
79,580801,36089,60518
80,580801,61937,86392
81,564021,41373,41373
82,564021,46378,49148
83,564021,64233,82951
84,521422,67358,82629
85,485338,63554,83508
86,616049,43665,83148
87,636436,43256,86340
88,330280,66991,83424
89,559872,24,11218
90,559872,68307,86189
91,577886,43260,59693
92,577886,62246,62433
93,577886,65010,72296
94,577886,73883,76333
95,577886,77623,86343
96,459775,180,10605
97,459775,45322,45322
98,459775,47232,60610
99,459775,61968,79999
100,459775,81483,86387
101,383272,33923,33949
102,383272,38417,38417
103,383272,39834,82210
104,127643,47242,86360
105,626092,67288,83448
106,502277,35321,83809
107,412705,13,5729
108,412705,70133,86394
109,355117,161,2512
110,355117,69749,83687
111,355117,85214,86375
112,589582,39614,53603
113,589582,68119,82859
114,537610,39778,84269
115,537610,85531,86315
116,325778,36036,82061
117,163770,24089,39236
118,163770,66319,66922
119,535943,24378,59266
120,535943,65625,67253
121,535943,69483,82783
122,242053,68293,82959
123,185014,21680,22285
124,185014,23501,56987
125,185014,66344,66344
126,185014,69384,81482
127,571491,39627,82942
128,605515,68623,80038
129,605515,81644,86293
130,166245,36384,38155
131,530529,225,5748
132,530529,37517,45540
133,530529,65276,83616
134,499744,46588,56702
135,511125,114,9636
136,511125,41790,45160
137,511125,46976,57796
138,279716,35,12651
139,279716,47381,57250
140,279716,68292,79978
141,617866,18,13217
142,617866,26468,86395
143,611851,40345,40345
144,611851,64584,86253
145,340946,8,10860
146,340946,69282,81751
147,460000,33570,36833
148,460000,38854,84499
149,338548,68400,85998
150,182742,68129,86374
151,504998,119,3342
152,504998,36729,36729
153,504998,40100,65309
154,504998,66590,82988
155,596230,49816,51377
156,608710,11,9678
157,608710,43416,63237
158,608710,68168,69788
159,608710,70991,86387
160,460412,3,1292
161,460412,69488,86247
162,498492,25533,30147
163,498492,32073,67006
164,367397,37516,57631
165,367397,60823,82921
166,599525,46529,55606
167,599525,68282,83623
168,590530,40053,62175
169,590530,64283,83113
170,629078,65461,85353
171,606937,35882,82736
172,592278,42687,57527
173,592278,61007,65109
174,592278,66369,83659
175,400781,28593,58006
176,400781,60320,67405
177,400781,70127,82268
178,506665,39903,84536
179,612115,45002,45002
180,628264,23,3261
181,628264,42699,84030
182,335342,11,2421
183,633237,64221,82789
184,191475,24626,29636
185,191475,31298,31840
186,191475,33073,57825
187,239415,96,11175
188,239415,44833,63448
189,239415,68179,86373
190,583624,42302,58779
191,583624,62201,71238
192,279221,40803,40803
193,279221,42499,58266
194,279221,60785,69939
195,279221,72712,82563
196,82260,25051,58324
197,82260,65224,75095
198,616877,49844,66913
199,616877,68490,72074
200,616877,75674,84397
201,623552,69191,84105
202,614822,44,368
203,614822,67159,86232
204,487089,45431,55468
205,487089,67842,82538
206,584984,38489,64334
207,584984,67781,85243
208,253886,65503,83503
209,614278,68412,83304
210,417864,41653,62251
211,417864,64930,83136
212,140878,27282,27282
213,140878,68325,83170
214,506170,48050,51023
215,506170,52270,58561
216,505614,36997,36997
217,505614,68959,86174
218,629575,64294,86168
219,604895,67350,82257
220,358417,43749,43749
221,358417,45412,61739
222,358417,68460,82848
223,151157,27453,59211
224,476084,68362,83687
225,453159,11,316
226,453159,34814,34814
227,453159,41611,86399
228,500517,35377,54838
229,577025,43519,80550
230,587825,35925,35925
231,587825,43441,82789
232,137580,41534,67272
233,137580,69168,86384
234,156522,22634,62409
235,156522,69365,80624
236,272092,41,12493
237,272092,16883,16884
238,272092,69563,86309
239,530329,67451,83044
240,256159,38477,60403
241,256159,62803,83044
242,560636,68466,69360
243,560636,71101,84285
244,512418,67894,72709
245,512418,74571,82234
246,512418,84697,86253
247,175736,14,11249
248,175736,12803,12803
249,175736,39692,59999
250,175736,70383,82979
251,175736,84582,86351
252,547238,35596,35596
253,547238,37357,37357
254,547238,40972,55571
255,547238,64897,64897
256,412701,115,1970
257,412701,70507,83445
258,363065,67886,82861
259,560418,68446,81665
260,636409,46034,50835
261,636409,53941,55420
262,636409,56694,58323
263,636409,61493,70794
264,636409,72774,79282
265,636409,80759,80759
266,396131,68215,82350
267,483436,67670,68146
268,483436,69680,82909
269,609150,4,2155
270,609150,48697,48697
271,609150,70416,86395
272,611637,68397,82869
273,320889,40159,84276
274,289432,38581,57794
275,289432,60931,82380
276,371032,54,1965
277,371032,37113,37113
278,371032,43919,56047
279,371032,62544,83035
280,500609,40705,48602
281,500609,61211,82541
282,625119,68161,82840
283,456257,25,4836
284,456257,6311,11275
285,456257,47563,58147
286,456257,68399,86270
287,395335,27724,27724
288,395335,39993,54280
289,515414,42554,83495
290,358940,68534,83016
291,579397,15,8278
292,579397,68188,86287
293,148381,43045,61701
294,148381,64831,82867
295,511357,42154,53611
296,511357,56940,83280
297,590360,39782,46334
298,590360,65954,82854
299,617981,67565,67565
300,617981,68838,83549
301,295022,40259,58763
302,295022,62288,83126
303,305717,2338,11226
304,305717,66525,68698
305,305717,76928,85132
306,595736,6,102
307,595736,74740,85430
308,589281,64523,83000
309,631170,25223,36401
310,631170,54518,66373
311,631170,69126,81783
312,473121,44829,56260
313,473121,68026,70188
314,473121,71719,86393
315,565060,44614,54665
316,565060,67532,83030
317,533674,25452,25720
318,533674,26929,28082
319,533674,29742,54296
320,533674,55522,64750
321,369860,60358,64737
322,369860,68131,82937
323,396209,45662,55370
324,396209,68900,80468
325,396209,81909,83141
326,527513,67951,83117
327,546099,70692,72729
328,546099,73990,82736
329,614022,44780,49374
330,614022,51313,53049
331,614022,63618,71242
332,614022,74207,84539
333,570646,20,1535
334,570646,42428,62937
335,570646,64173,83117
336,623519,10,5074
337,623519,42793,42793
338,623519,68351,86397
339,620411,47942,55414
340,620411,67946,82650
341,565047,67446,82945
342,530885,39849,57898
343,530885,61610,83685
344,223421,12,10984
345,223421,38250,53061
346,223421,68156,86324
347,521967,223,1594
348,521967,41884,86396
349,475954,6,13057
350,475954,45122,86247
351,566599,68671,83610
352,197228,14,10879
353,197228,49867,56433
354,610560,37139,82874
355,256088,10,13001
356,256088,40894,57337
357,256088,67946,72969
358,256088,79678,86388
359,383875,62,10859
360,383875,47556,53150
361,383875,69037,86071
362,479144,44,2345
363,479144,67074,85944
364,412699,46492,59770
365,624471,5,9319
366,624471,42477,60040
367,624471,63388,82704
368,605746,18,1061
369,605746,41751,82865
370,618125,44294,44294
371,409759,20353,50061
372,409759,51357,52961
373,636701,51701,54781
374,636701,67944,84143
375,137890,67820,81957
376,552665,60876,83590
377,590223,0,7916
378,596506,45980,46335
379,596506,68229,71660
380,568981,69648,85945
381,364406,38766,82915
382,522629,40412,53976
383,522629,56348,60090
384,522629,61399,84190
385,159339,24186,65408
386,576849,68187,82897
387,363073,45402,58071
388,363073,60320,60343
389,363073,62121,62730
390,363073,65565,65565
391,363073,66901,84237
392,460389,1,3419
393,416620,42991,43562
394,416620,44769,45139
395,416620,46631,61177
396,416620,62486,69983
397,416620,71216,83183
398,389062,1033,2766
399,389062,45011,84966
400,617828,66288,86391
401,494024,72816,79466
402,531308,68221,82874
403,367485,352,11011
404,367485,38711,38711
405,367485,44439,55605
406,367485,57407,57706
407,367485,66461,82138
408,367485,83425,86352
409,555791,68390,83427
410,355144,43022,83949
411,331907,26889,53670
412,636325,63274,83754
413,236623,41636,41636
414,236623,42992,62734
415,236623,64708,86391
416,205198,24570,57876
417,205198,73042,83593
418,205198,86193,86193
419,614362,46754,46754
420,593632,30402,30402
421,593632,41171,58661
422,593632,60118,82778
423,259625,31522,31522
424,259625,32962,32962
425,259625,39657,62422
426,259625,67393,80179
427,259625,81738,81738
428,606837,41832,85569
429,549597,68358,82966
430,245609,69352,69352
431,83066,34819,59249
432,83066,60786,82899
433,575312,7,1765
434,528757,67860,67860
435,528757,69072,83696
436,632733,43214,62834
437,394858,68387,82994
438,523838,1267,11324
439,523838,67834,82880
440,523838,85770,86388
441,461645,30478,30478
442,461645,39790,59093
443,461645,62661,83112
444,200257,62637,79418
445,200257,81742,84693
446,402506,70802,71566
447,309214,68302,83636
448,166889,42806,42806
449,556512,24,6926
450,556512,52504,52504
451,556512,69674,69674
452,611335,43111,61334
453,601509,65283,84718
454,535733,4,11312
455,535733,54157,86395
456,527496,38922,41575
457,527496,69650,82940
458,609257,113,3022
459,609257,42907,57715
460,609257,60719,86383
461,324594,67882,84463
462,560220,43850,51407
463,560220,54609,56253
464,560220,68418,86387
465,382935,42560,63370
466,637586,71185,82936
467,205389,40084,40084
468,205389,43013,52738
469,205389,67956,81243
470,620416,67768,82792
471,549887,2948,11560
472,549887,67093,69225
473,549887,70648,74180
474,549887,76308,78141
475,549887,80848,82970
476,192380,43707,61213
477,192380,62868,81817
478,582991,67087,82659
479,629889,41565,55322
480,629889,67958,84419
481,254909,44579,48429
482,254909,50205,51518
483,422902,9,8439
484,422902,69007,86387
485,600045,6,1542
486,600045,40864,64823
487,600045,70395,86345
488,628805,66388,84533
489,613471,16,6836
490,613471,68028,86335
491,630070,7,585
492,630070,67540,85524
493,623199,68849,81609
494,575098,33718,33718
495,575098,39641,48650
496,633526,1447,1447
497,633526,42666,69114
498,633526,71552,86389
499,607959,1726,9579
500,607959,45954,48421
501,607959,52233,67802
502,607959,70797,75587
503,607959,79402,86218
504,587259,39264,39264
505,629609,68676,82870
506,552777,68349,82851
507,90793,43819,63835
508,90793,67571,83560
509,254368,40419,75682
510,254368,77713,82871
511,605255,46187,83223
512,404364,42445,57615
513,404364,61191,78172
514,596404,487,742
515,596404,42605,65689
516,596404,66925,83544
517,162591,42571,57121
518,162591,58427,58789
519,162591,67851,70634
520,162591,72900,75299
521,162591,76514,83197
522,193206,8777,8777
523,193206,41241,41241
524,626307,23366,26784
525,626307,28067,34449
526,626307,36024,66491
527,615111,41898,41901
528,615111,43261,70483
529,615111,71786,71883
530,615111,73998,83105
531,368363,67934,82978
532,383706,39720,56695
533,383706,67266,85427
534,176840,39504,57448
535,419348,73504,76020
536,626725,59427,82658
537,607435,68038,83167
538,354931,42825,62125
539,354931,65302,83125
540,614247,3,10634
541,614247,71791,86397
542,502581,68266,83920
543,557203,67313,82459
544,624055,68311,82750
545,629570,67115,82815
546,283329,42717,43101
547,283329,45275,60287
548,283329,63635,82764
549,238686,162,13878
550,238686,67758,86393
551,601604,87,11790
552,601604,68114,86390
553,482768,44811,44811
554,482768,68086,83045
555,253558,30422,30994
556,253558,65620,65649
557,253558,78070,78070
558,608602,59950,82829
559,613827,67835,82856
560,381481,43109,57711
561,381481,59546,82764
562,591372,67775,82852
563,623080,66425,71949
564,623080,73214,78577
565,623080,79855,82800
566,415762,29,29
567,415762,32916,32916
568,415762,34143,48600
569,552342,66192,84930
570,497282,74258,86234
571,518788,68568,75395
572,518788,79203,83009
573,453248,39676,48111
574,453248,67349,83511
575,486978,50683,50683
576,571513,37585,37585
577,571513,64832,69115
578,571513,70792,82944
579,629528,61032,83841
580,177336,24844,79743
581,394334,39667,59121
582,394334,62634,86398
583,611471,37901,55123
584,611471,64292,64541
585,611471,66732,84050
586,520652,68161,70169
587,520652,71705,78981
588,520652,80691,82307
589,394374,67517,83789
590,313567,37215,58649
591,313567,61791,83145
592,402518,41874,41874
593,402518,44743,82957
594,597570,67734,86293
595,473896,39963,55324
596,473896,65633,83018
597,407930,27933,27933
598,407930,29963,32245
599,407930,38435,57595
600,454092,45801,53396
601,454092,67521,82797
602,607723,39682,57572
603,607723,61093,65996
604,341598,68981,84216
605,541869,43094,83309
606,236611,36724,57708
607,236611,66637,83339
608,255067,94,12849
609,255067,42964,42964
610,555785,59,12350
611,555785,45683,45683
612,555785,67606,86392
613,84236,68513,82952
614,585177,36944,57573
615,585177,63483,82863
616,303396,71096,85639
617,589159,49,597
618,589159,60240,60240
619,589159,68178,86381
620,364863,41909,60995
621,364863,64049,83070
622,596533,38623,38623
623,596533,52171,57774
624,596533,68116,83235
625,347316,19878,20121
626,347316,37779,59070
627,347316,61471,86391
628,475780,43042,58853
629,475780,66634,67906
630,475780,69459,81813
631,632615,39677,57168
632,632615,59445,82514
633,605253,68402,83984
634,597071,68231,82997
635,457636,39957,58201
636,457636,68320,86168
637,554458,34384,52987
638,554458,69063,86123
639,396378,68764,82990
640,336319,27661,27661
641,336319,37106,58663
642,336319,61607,70512
643,336319,71962,85709
644,153736,43919,53909
645,153736,67237,84034
646,104449,41343,82732
647,456220,25210,58988
648,257100,21,10830
649,257100,43690,43690
650,257100,46645,52243
651,257100,65721,86377
652,383762,41027,55488
653,605243,68685,80475
654,605243,81849,82740
655,581408,68360,82906
656,624114,29744,29744
657,624114,41334,59998
658,597114,31735,54424
659,597114,62887,66111
660,597114,70013,83373
661,170330,34540,44972
662,578184,1462,1463
663,578184,22649,22649
664,578184,35862,39175
665,578184,40609,48464
666,578184,51285,53692
667,578184,55436,59697
668,578184,61153,82112
669,578184,84338,84338
670,256126,4,10850
671,256126,68892,86392
672,248012,149,4292
673,248012,35300,57474
674,248012,58900,79176
675,248012,80459,86385
676,577321,52379,52384
677,577321,58953,67201
678,577321,68724,71243
679,577321,72763,83151
680,584811,45,12392
681,584811,44224,56313
682,584811,64056,86235
683,635281,69409,83521
684,371876,31061,82944
685,595775,48380,48380
686,595775,60113,80798
687,260104,68545,83103
688,131017,25192,54177
689,479593,68165,74957
690,396785,36386,63409
691,396785,64634,83094
692,335993,41,644
693,335993,43701,58499
694,335993,71104,86325
695,498122,62510,86177
696,448694,37712,37712
697,448694,42585,83129
698,579722,46620,54592
699,616948,51407,72272
700,616948,75671,84267
701,550840,1,10748
702,550840,65446,86279
703,337441,51,1769
704,337441,32274,32526
705,337441,34038,57983
706,337441,60511,60513
707,337441,61866,85078
708,583604,2,174
709,347405,67636,83458
710,632134,31735,31735
711,632134,33445,39781
712,632134,42692,80856
713,632134,84583,84583
714,589278,64697,70493
715,589278,71748,79841
716,589278,81343,83308
717,463326,42,1374
718,463326,30641,59538
719,463326,61423,86360
720,394297,46485,52308
721,591382,63808,85482
722,177506,15,13181
723,177506,43217,86261
724,453438,36211,42768
725,453438,45960,51325
726,453438,63274,63274
727,364899,45369,45369
728,364899,66027,83297
729,578469,32328,32328
730,578469,43141,58494
731,578469,62531,82858
732,556548,69536,86374
733,356872,41977,82697
734,624396,65126,82843
735,542605,42453,44518
736,542605,68258,86369
737,577584,47000,49481
738,577584,55494,55789
739,577584,67762,71234
740,577584,73892,85658
741,113147,44009,44009
742,113147,45299,82528
743,249427,66934,83162
744,254527,43387,83041
745,599042,42057,61566
746,599042,71447,86285
747,472771,37742,50583
748,472771,53728,59134
749,472771,68448,83207
750,245619,39613,50024
751,245619,68462,83005
752,245619,86102,86102
753,418611,68015,82830
754,418611,84262,84767
755,505810,33630,71854
756,505810,73110,82947
757,521963,33675,38020
758,521963,39524,41179
759,521963,52284,68666
760,521963,70198,79850
761,521963,81764,83718
762,397188,68000,82918
763,610001,12,7530
764,610001,68299,82715
765,168667,74753,86361
766,596872,38958,38958
767,596872,41190,63378
768,596872,69563,72577
769,596872,73784,82499
770,617603,44905,53163
771,617603,55150,56119
772,504692,0,10922
773,603590,68515,71879
774,626273,33363,33363
775,626273,42899,43039
776,626273,44554,55460
777,626273,56676,59094
778,624767,42800,57083
779,624767,61247,62406
780,624767,64415,79281
781,592138,32494,32494
782,592138,36038,57855
783,592138,64460,81995
784,480427,77400,77400
785,465674,27505,55366
786,458417,34535,58163
787,458417,64673,85957
788,251354,67537,83078
789,506132,68055,84415
790,590807,78328,82177
791,590807,85446,85446
792,523194,37440,37440
793,523194,43054,86385
794,157638,23479,23479
795,157638,25318,64180
796,157638,72199,81306
797,580814,67793,85529
798,560456,68424,85602
799,636440,68463,82863
800,472199,10,11323
801,472199,35109,35109
802,472199,37275,54244
803,472199,68237,86341
804,488455,8,10922
805,488455,38533,57198
806,488455,68332,86390
807,324756,68657,82930
808,265293,39598,39598
809,265293,43209,56042
810,265293,59138,83101
811,589605,69102,75409
812,532813,35899,35899
813,532813,85059,85059
814,136519,55,11853
815,136519,60284,65666
816,136519,68029,86385
817,568544,1685,1685
818,568544,40375,57693
819,568544,61114,79998
820,568544,81775,83132
821,561010,1,11152
822,561010,38493,86310
823,618059,66505,83160
824,366407,49939,55976
825,366407,67257,82887
826,591538,62829,82763
827,546249,40056,49932
828,546249,55823,60504
829,546249,67810,82947
830,459727,46324,58520
831,459727,68213,86395
832,481644,42516,82565
833,613241,42213,67383
834,522048,103,10942
835,522048,67957,86246
836,513669,68786,83346
837,596860,67600,82661
838,600987,39901,52112
839,600987,53342,53779
840,600987,55803,59523
841,279846,39620,82816
842,538098,24292,62846
843,580955,68317,83292
844,218452,25377,58067
845,614254,68261,82648
846,574399,44782,53592
847,574399,67975,85031
848,311799,148,5368
849,311799,42295,60638
850,311799,63354,86330
851,528021,41764,84463
852,625873,24851,59052
853,614794,68280,83285
854,405442,41264,60694
855,405442,64377,71513
856,405442,72945,82832
857,489637,68305,83741
858,567458,159,13039
859,567458,65296,65973
860,567458,67340,86391
861,376342,39786,59543
862,376342,62284,84737
863,605274,494,10911
864,605274,68249,85863
865,119241,40601,64701
866,119241,65949,82866
867,473720,68330,82918
868,490429,39899,58702
869,490429,66471,80811
870,625518,60,13132
871,625518,43342,52526
872,625518,66642,86369
873,412785,120,8650
874,412785,40826,40826
875,412785,42990,57809
876,412785,59061,86238
877,625229,66760,82973
878,516808,50910,72739
879,484702,64589,82777
880,500653,61742,86395
881,495341,38594,38594
882,495341,40051,60797
883,495341,63100,86208
884,624870,5961,5978
885,624870,42940,83064
886,369970,38603,40093
887,369970,41443,55945
888,369970,58516,83673
889,557139,68952,83527
890,591649,1,10872
891,591649,47830,47830
892,591649,67880,86390
893,565432,42940,54327
894,565432,60979,83096
895,490444,19,13632
896,490444,38330,54158
897,490444,67536,86397
898,489139,37526,47762
899,489139,68232,84189
900,452434,69669,82608
901,605249,26,1183
902,605249,68653,86025
903,144553,41997,83577
904,598659,68440,82871
905,520308,6,92
906,520308,67671,83390
907,195504,37358,37358
908,195504,42735,83159
909,498171,67510,75339
910,605342,79,2445
911,605342,68556,86218
912,601743,42652,42652
913,601743,47950,56386
914,461380,181,2561
915,461380,42162,57271
916,461380,70466,85059
917,349741,43721,43721
918,349741,68252,84341
919,594907,155,2463
920,594907,41253,48452
921,594907,67465,77856
922,594907,79068,86023
923,136231,4,10459
924,136231,43065,86349
925,586369,42791,62351
926,586369,64751,86296
927,544129,68902,86392
928,547892,68532,79015
929,547892,80414,80414
930,547892,82647,82796
931,624298,67915,86363
932,589693,1,7942
933,589693,43617,48302
934,589693,62416,82515
935,589693,84285,86376
936,615051,41658,59853
937,615051,62795,83770
938,417171,43003,60630
939,417171,64915,86307
940,386039,42557,83087
941,335892,37261,83126
942,559432,42269,84805
943,450063,24321,57580
944,450063,67464,76581
945,515711,42704,59009
946,515711,60467,60467
947,515711,63463,68612
948,586878,30932,31267
949,586878,32946,84561
950,333425,68456,83835
951,586348,36864,36864
952,586348,42200,42200
953,586348,66608,66608
954,586348,68861,82993
955,479272,76792,76827
956,538450,81820,81820
957,377547,39609,46865
958,377547,48415,48434
959,377547,75153,75153
960,377547,77575,84112
961,637471,67395,83277
962,540350,43255,52723
963,540350,54354,83246
964,504462,66638,72907
965,504462,76584,86381
966,567668,67981,83851
967,629392,46876,54307
